genome_uuid	production_name
677591fe-6dc5-4daa-9e51-a3a83ae83a7d	sus_scrofa_hampshire
75040b5b-abb5-4913-8bd3-af4b4777fa87	mus_musculus_dba2j
1b5baf92-a545-4b8c-ae62-69468fecd4c4	oryzias_latipes_gca947078835v1
e355c9df-75a2-411b-a470-36897d4f1515	hordeum_vulgare
750e67f5-4811-441d-be46-a436786dfb27	aegilops_tauschii
7569f6f1-e742-4e50-a829-1e8f2dd6db87	homo_sapiens_gca018852595v1
3d5ca882-670d-4d17-85dc-15185738c40a	homo_sapiens_gca018852585v1
3b8eeeab-70e0-4200-a279-9864849556b3	homo_sapiens_gca018506125v1
2dae4886-5dca-455e-80fc-bb308ea06c93	homo_sapiens_gca018505855v1
c7d60942-b5b0-49f1-976f-8946cebd9ff1	gallus_gallus_gca000002315v5
92ae33e2-666b-4eeb-aaaf-43606315bd28	ovis_aries
bef6ae02-d671-44d1-9317-792c019ebdd1	homo_sapiens_gca018504665v1
48b1b849-3b73-4242-ae83-af2290aeb071	homo_sapiens_gca018504655v1
1bd9b3e4-3a6a-40f4-983c-bb6bf31b5e6c	oryza_sativa_lima
968e99a2-bb9b-44e9-a4ad-13c7a9672600	drosophila_melanogaster
182c2890-5c50-47f1-bbce-ad8daee14861	triticum_aestivum_kariega
87964757-f093-4380-a12b-5cf8129497d6	mus_musculus_c57bl6nj
8f301368-ae07-46c9-8497-d4465cb9a8d0	homo_sapiens_gca018469695v1
69ba5f9d-0f47-4da3-960c-9810a59ee0cd	homo_sapiens_gca018469665v1
a73357ab-93e7-11ec-a39d-005056b38ce3	triticum_aestivum
fdb145a6-bc3a-4287-9847-9b79ef23009a	oryzias_latipes_gca947078815v1
1ce32b94-d03b-49e9-9aac-fa6ce62e974f	homo_sapiens_gca018506975v1
7f26ea2b-57a2-49ba-842e-a4eb7b84b2e4	homo_sapiens_gca018506955v1
367a44b9-e61e-42ee-9c13-edeff1828e87	oryzias_latipes_gca947078855v1
52f1b3da-064d-405c-9626-d2e3f7069423	homo_sapiens_gca018470445v1
fb40b884-a08c-432d-8026-4b8cd0aec53b	homo_sapiens_gca018470435v1
eaebb454-7987-44b3-b52a-e23bf138b2fa	homo_sapiens_gca018505845v1
87089938-e674-4120-be15-ffb5ea2e990a	homo_sapiens_gca018505835v1
0b6aaf51-1909-421a-94b5-7734092f64d1	canis_lupus_familiarisgsd
f14141ae-9202-4639-a7db-6b5b4700e8fb	homo_sapiens_gca018506165v1
a2660ec1-cfc1-497b-be61-fe2c74a1ae7d	homo_sapiens_gca018506155v1
35a40586-9cb2-4d89-a7db-d00511691d09	solanum_lycopersicum
4273b9f0-c927-4215-87bf-828ef65de984	zea_mays
bcc14ae2-05ae-4db2-b92b-eef80bafd0c3	triticum_aestivum_lancer
3704ceb1-948d-11ec-a39d-005056b38ce3	homo_sapiens_37
a7335667-93e7-11ec-a39d-005056b38ce3	homo_sapiens
4b3733d3-4ee2-4847-8748-027d485a6296	cricetulus_griseus_crigri
d7691c42-2d2e-443b-8732-2f73117e6a13	sus_scrofa_largewhite
51c9bbe3-e1e2-44c6-91e0-51ee267abb1c	oryza_sativa_pr106
431b66cf-5883-42b3-97c5-7407c7d00376	homo_sapiens_gca018472725v1
60cc8eff-d99c-4c00-898f-ac75af018e4f	homo_sapiens_gca018472685v1
0b2c7451-e901-45fe-9e97-987b7e617056	astyanax_mexicanus_gca023375835v1
d46f781c-e77b-4a10-9c20-afd5ec8b2d94	oryza_sativa_liuxu
d59ff3ce-5b5a-4102-a534-980d63ce5e22	homo_sapiens_gca018469865v1
c28144ee-a635-4fb7-afb2-4cefd710d4e5	homo_sapiens_gca018469965v1
bfaa50bb-4692-4097-b1e4-aab2f856405c	gallus_gallus_gca016700215v2
eda03508-879d-4ee6-82a8-42ad68fbaf19	xenopus_tropicalis
96ff1fe8-f8d4-44b2-967b-8f7f91519400	canis_lupus_familiarisbasenji
fbbbfe0b-035d-43e5-b836-0620a9234997	brassica_rapa
b97ecd27-6fc3-47de-8816-c63a4429bda9	triticum_aestivum_refseqv2
d278fb8c-5693-482e-a97d-13b5b9d1b828	homo_sapiens_gca018504065v1
4e357550-7c34-4fb2-b766-6d803e04bc8e	homo_sapiens_gca018504075v1
48f1af8a-ee77-483a-a11a-8d1d0ef5fee3	mus_musculus_c3hhej
da9c92c2-b024-456f-9be1-d810b9c61736	sus_scrofa_jinhua
edc91aeb-288d-41fb-a137-8156bfa24f14	homo_sapiens_gca018472715v1
e0232c0a-b1fb-4f22-bdc1-bb86c5818a09	homo_sapiens_gca018472765v1
2b506a13-eba5-4248-bf22-caf774cd6e08	sus_scrofa_wuzhishan
ca0c4d80-e0e7-4d4b-920f-f88ad90ff753	equus_caballus
14fe0744-4b47-4d31-bddf-dc2b6ffc7f4e	felis_catus
16ffe817-4bc3-4452-9661-773abeb6fe76	oryza_sativa_gobolsailbalam
08c83543-c3d9-4a7a-85d8-52f75d61aab0	vitis_vinifera
d71df629-f00f-4fcd-ae9a-c2dca1eff2e1	oryzias_latipes_gca947078785v1
209b71d3-90a8-4af0-913f-6e154ba14b03	oryzias_latipes
eeefd012-fd22-4199-aee7-a45c5ccad6e1	astyanax_mexicanus_gca023375975v1
51e4f3a0-8e22-436d-ad2f-3fdd2a7e1ad7	brassica_oleracea
9dffd0e5-51c7-4abc-bb51-52cd3165babe	homo_sapiens_gca018504375v1
c1d4cef8-a96a-442e-82d4-9291f8d9d961	homo_sapiens_gca018504045v1
b2872c1d-fdf4-49b9-a4b3-a4b2119571c1	salmo_salar_gca021399835v1
30be294e-d88f-451a-a46d-a8d5230e41c6	oryza_sativa_larhamugad
ebc4a976-8daa-4d73-9424-264811baa2fb	homo_sapiens_gca018471105v1
0eece536-5bfb-442c-aaf2-d3c56cef5e75	homo_sapiens_gca018471095v1
b2e719b8-91d6-48e4-9410-bf5ec1eec1bd	homo_sapiens_gca018503255v1
